NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,,,,,,,,,,,,,
28-Dec-15,New York Life - Long Term Care Ins.,Travis,Capital Area WDA,50,01-Apr-16,28-Dec-15,Austin,,,,,,,,,,,,,
23-Dec-15,Boeing Company,Harris,Gulf Coast WDA,29,19-Feb-16,23-Dec-15,Houston,,,,,,,,,,,,,
22-Dec-15,Aramark - Wichita Falls,Wichita,North Texas WDA,114,15-Jan-16,22-Dec-15,Wichita Falls,,,,,,,,,,,,,
18-Dec-15,L.R. Texas dba CSS Industires,El Paso,Upper Rio Grande WDA,70,06-Feb-16,18-Dec-15,El Paso,,,,,,,,,,,,,
16-Dec-15,Dresser Rand ( A Siemens Business),Harris,Gulf Coast WDA,72,05-Mar-16,16-Dec-15,Houston,,,,,,,,,,,,,
15-Dec-15,Daiichi Sankyo,Tarrant,Tarrant County WDA,18,11-Dec-15,15-Dec-15,Westlake,,,,,,,,,,,,,
15-Dec-15,Millennium 1 Solutions,Bexar,Alamo WDA,106,11-Mar-16,15-Dec-15,San Antonio,,,,,,,,,,,,,
07-Dec-15,PCH Communications dba Commonground-MGS,Harris,Gulf Coast WDA,6,05-Dec-15,07-Dec-15,Houston,,,,,,,,,,,,,
07-Dec-15,Cameron International Corp.-Topsides Controls Group,Harris,Gulf Coast WDA,55,01-Feb-16,07-Dec-15,Houston,,,,,,,,,,,,,
07-Dec-15,"Aramark Healthcare Services, LLC",Harris,Gulf Coast WDA,324,07-Dec-16,07-Dec-15,Houston,,,,,,,,,,,,,
01-Dec-15,"YP Holdings, LLC",Dallas,Dallas County WDA,100,30-Jan-15,01-Dec-15,Dallas,,,,,,,,,,,,,
30-Nov-15,"Arruth Associates,Inc.",Harris,Gulf Coast WDA,93,25-Nov-15,30-Nov-15,Houston,,,,,,,,,,,,,
30-Nov-15,Sulzer Pumps (US) Inc.,Waller,Gulf Coast WDA,115,29-Jan-16,30-Nov-15,Brookshire,,,,,,,,,,,,,
30-Nov-15,Noble Drilling (US) LLC - Noble Jim Day Rig,Fort Bend,Gulf Coast WDA,130,26-Jan-16,30-Nov-15,Sugar Land,,,,,,,,,,,,,
30-Nov-15,Boeing Company,Harris,Gulf Coast WDA,5,22-Jan-16,30-Nov-15,Houston,,,,,,,,,,,,,
19-Nov-15,"Williams Sonoma, Inc.",Tarrant,Tarrant County WDA,85,19-Jan-16,19-Nov-15,Arlington,,,,,,,,,,,,,
17-Nov-15,"AECOM-Flint Energy Services, Inc.-Kilgore",Gregg,East Texas WDA,43,16-Jan-16,17-Nov-15,Kilgore,,,,,,,,,,,,,
17-Nov-15,"AECOM-Flint Energy Services, Inc.-Victoria",Victoria,Golden Crescent WDA,43,15-Jan-16,17-Nov-15,Victoria,,,,,,,,,,,,,
17-Nov-15,Jacobs Field Services N.A.-Marathon Galveston Bay,Galveston,Gulf Coast WDA,196,23-Jan-16,17-Nov-15,Texas City,,,,,,,,,,,,,
16-Nov-15,First Transit-Transit Management-McKinney,Collin,North Central Texas WDA,70,16-Jan-16,16-Nov-15,McKinney,,,,,,,,,,,,,
16-Nov-15,First Transit-Transit Management -Sherman,Grayson,Texoma WDA,70,16-Jan-16,16-Nov-15,Sherman,,,,,,,,,,,,,
13-Nov-15,"Topsail Staffing, LLC-HealthPRO",Dallas,Dallas County WDA,15,31-Dec-15,13-Nov-15,Dallas,,,,,,,,,,,,,
